image,name,price
https://ostore.kg//upload/resize_cache/iblock/2e3/180_240_1/1Wingleсом.PNG,4G Wi-Fi Wingle,"1 c  / шт
"
https://ostore.kg//upload/resize_cache/iblock/30a/180_240_1/photo_2021-03-03_17-03-48.jpg,4G Wi-Fi роутер,"1 c  / шт
"
https://ostore.kg//upload/resize_cache/iblock/6ea/180_240_1/ВД-1.0.png,"Комплект ""Вместе дешевле 1.0""","3290 c  / шт
"
https://ostore.kg//upload/resize_cache/iblock/f4f/220_200_1/1Black.jpg,Xiaomi Redmi Note 10 Pro,29900 c 
https://ostore.kg//upload/resize_cache/iblock/d8d/220_200_1/1Black.JPG,Samsung Galaxy Note 10+,76990 c 
https://ostore.kg//upload/resize_cache/iblock/23d/220_200_1/1Black.PNG,Honor 10 Lite,10990 c 
https://ostore.kg//upload/resize_cache/iblock/ffc/220_200_1/1Black.PNG,Samsung Galaxy S10 Plus,62990 c 
https://ostore.kg//upload/resize_cache/iblock/3fe/220_200_1/1Black.PNG,Samsung Galaxy A30,13990 c 
https://ostore.kg//upload/resize_cache/iblock/704/220_200_1/1Black.JPG,Samsung Galaxy Note 10,69990 c 
https://ostore.kg//upload/resize_cache/iblock/e97/220_200_1/1Black.JPG,Samsung Galaxy A10s,10590 c 
https://ostore.kg//upload/resize_cache/iblock/250/220_200_1/1Black.JPG,Samsung Galaxy A30s,13090 c 
https://ostore.kg//upload/resize_cache/iblock/b2f/220_200_1/1Black.JPG,Samsung Galaxy A20s,11690 c 
https://ostore.kg//upload/resize_cache/iblock/fb7/220_200_1/1Black.jpg,Samsung Galaxy A71,29590 c 
https://ostore.kg//upload/resize_cache/iblock/209/220_200_1/0Black.JPG,Samsung Galaxy A51,21990 c 
https://ostore.kg//upload/resize_cache/iblock/1fb/220_200_1/1Black.jpg,Samsung Galaxy A01,8590 c 
https://ostore.kg//upload/resize_cache/iblock/0ce/220_200_1/1Black.jpg,Samsung Galaxy A31,17990 c 
https://ostore.kg//upload/resize_cache/iblock/8d2/220_200_1/1Black.jpg,Samsung Galaxy A11,10890 c 
https://ostore.kg//upload/resize_cache/iblock/1e5/220_200_1/7Black.JPG,Samsung Galaxy A41,19790 c 
https://ostore.kg//upload/resize_cache/iblock/aff/220_200_1/1Black.JPG,Samsung Galaxy A21s,14190 c 
https://ostore.kg//upload/resize_cache/iblock/9ad/220_200_1/1Blue.jpg,Samsung Galaxy S20+,60990 c 
https://ostore.kg//upload/resize_cache/iblock/f9d/220_200_1/1Black.JPG,Samsung Galaxy A01 Core 2020,7090 c 
https://ostore.kg//upload/resize_cache/iblock/7ba/220_200_1/1Black.JPG,Планшет Samsung SM-T295 (Tab A 8.0),13190 c 
https://ostore.kg//upload/resize_cache/iblock/991/220_200_1/1Black.JPG,Планшет Samsung SM-T515 (Tab A 10.1),17990 c 
https://ostore.kg//upload/resize_cache/iblock/1aa/220_200_1/1Black.jpg,Samsung Galaxy A02S 2021,11090 c 
https://ostore.kg//upload/resize_cache/iblock/db7/220_200_1/1Black.JPG,Samsung Galaxy A12 2021,13290 c 
https://ostore.kg//upload/resize_cache/iblock/e3b/220_200_1/1Black.jpg,Samsung Galaxy A02 2021,9490 c 
https://ostore.kg//upload/resize_cache/iblock/55a/220_200_1/0Black.JPG,Samsung Galaxy A32,20390 c 
https://ostore.kg//upload/resize_cache/iblock/5e1/220_200_1/0Black.jpeg,Samsung Galaxy A52,27690 c 
https://ostore.kg//upload/resize_cache/iblock/286/220_200_1/1Black.JPG,Samsung Galaxy A72,35790 c 
https://ostore.kg//upload/resize_cache/iblock/1ef/220_200_1/1White.jpg,Xiaomi Redmi Note 9S,16900 c 
https://ostore.kg//upload/resize_cache/iblock/389/220_200_1/1White.JPG,Xiaomi Mi Note 10 Lite,25900 c 
https://ostore.kg//upload/resize_cache/iblock/14a/220_200_1/1Grey.JPG,Xiaomi Redmi Note 9,14500 c 
https://ostore.kg//upload/resize_cache/iblock/b9e/220_200_1/1Blue.jpg,Xiaomi Redmi Note 9 Pro,20500 c 
https://ostore.kg//upload/resize_cache/iblock/2e3/180_240_1/1Wingleсом.PNG,4G Wi-Fi Wingle,"1 c  / шт
"
